ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
BE99,L2T,L/G,14,13.6,4.3,4.9,1500,1000,17,760,650,260,240,268,249,1750,['BEECH 99 Airliner']
BE9L,L2T,L/G,15.3,10.8,4.3,,1800,1130,6,1100,1200,290,250,265,245,1500,"['BEECH 90 (A90) King Air', 'BEECH 90 (B90) King Air', 'BEECH 90 (C90) King Air', 'BEECH 90 (D90) King Air', 'BEECH 90 (E90) King Air', 'BEECH 90 King Air', 'BEECH T-44 Pegasus', 'BEECHCRAFT 90 King Air 90', 'HAWKER BEECHCRAFT 90 King Air 90', 'JETCRAFTERS Taurus 90', 'RAYTHEON 90 King Air', 'SWEARINGEN Taurus 90']"
BE9T,L2T,L/G,15.3,10.8,4.3,4.9,1780,1180,6,870,694,300,260,278,264,2600,['BEECH 90 (F90) King Air']
BEAR,L1P,L/G,10,7,2.1,1.1,200,800,4,,250,180,150,,115,1500,"['AVIPRO RB-4 Bearhawk', 'R & B RB-4 Bearhawk']"
BELF,L4T,M/D,48.4,42.6,14.3,104.3,45870,4600,5+150,,,300,250,306,275,1060,['SHORT SC-5 Belfast']
BER2,A2J,M/D,32.7,31.4,8.9,42,12000,2000,26573,700,1000,360,330,388 / .69,329,2750,['BERIEV Be-200 Altair']
BER4,A2J,M/D,41.6,43.8,11,86,35100,2500,7,2000,900,320,240,431,380,2200,['BERIEV A-40 Albatross']
BETA,L1P,L/G,6.2,4.9,1.5,0.4,48,280,1,,,200,,175,140,1800,['ROLLASON Beta']
BEVR,L1P,L/G,9.7,6.2,2,0.4,37,120,,75,,150,100,91,60,800,['ASAP Beaver']
BF19,L1P,L/G,8.2,7.2,2.1,0.5,,540,2,,,150,100,144,107,1380,['PODESVA Bf-109G-2']
BFIT,L1P,L/G,11.9,7.8,3,1.4,,300,2,,,220,170,123,100,,"['BRISTOL F-2B Fighter', 'BRISTOL F-2B Fighter Replica']"
BILO,L1P,L/G,8.4,7.8,,0.9,130,520,2,,,150,100,200,140,2300,['PENA Bilouis']
BIPL,L1P,L/G,6.1,5.1,1.8,0.5,68,200,1,,,120,100,109,96,1000,['EAA Biplane']
BIRD,L1P,L/G,7.9,5.4,1.6,0.5,,400,2,,,,,100,90,,"['TAYLOR (3) TA-2 Bird', 'TAYLOR (3) TA-3 Bird']"
BISC,L1P,L/G,8,6.4,,0.6,100,600,2,140,170,150,,118,108,1050,"['BILSAM Sky Cruiser', 'BOT AIRCRAFT SC-07 Speed Cruiser']"
BK17,H2T,L/G,-,9.8,3.5,3.3,460,290,10,,,150,100,,120,1770,"['CASA BK-117', 'EUROCOPTER-KAWASAKI BK-117B', 'EUROCOPTER-KAWASAKI BK-117C-1', 'HYUNDAI BK-117', 'MBB-KAWASAKI BK-117', 'NUSANTARA NBK-117']"
BKUT,L1P,L/G,8.1,5.4,2.2,1,220,1200,2,305,,280,240,258,238,2000,"['BERKUT Berkut', 'EXPERIMENTAL AVIATION Berkut', 'RENAISSANCE (1) Berkut']"
BL11,L1P,L/G,8.7,7,2.4,0.5,53,87,2,,,,,46,,900,"['BLERIOT 11', 'BLERIOT 11 Replica']"
BL17,L1P,L/G,10.3,8,2.2,1.4,270,750,4,433,409,240,220,192,187,1100,"['ALEXANDRIA 17 Super Viking', 'BELLANCA 17 Super Viking', 'BELLANCA 17 Turbo Super Viking', 'BELLANCA 17 Turbo Viking', 'BELLANCA 17 Viking']"
BL19,L1P,L/G,15.3,8.5,2.5,2,,650,10,,,250,120,165,140,,"['AVIABELLANCA 19 Skyrocket', 'BELLANCA 19 Skyrocket']"
BL8,L1P,L/G,9.7,6.7,2.4,0.8,150,380,2,300,400,160,100,158,,1200,"['AMERICAN CHAMPION 8 Scout', 'AMERICAN CHAMPION 8 Super Decathlon', 'BELLANCA 8 Decathlon', 'BELLANCA 8 Scout', 'CHAMPION 8 Decathlon']"
BLBU,L1P,L/G,7.7,6.1,2.3,0.7,85,800,2,270,350,180,140,160,158,1380,"['AMEUR Altania', 'AMEUR Balbuzard', 'AMEUR Baljims']"
BLCF,L4J,H/B,64.4,71,21.5,364,199100,4500,2,2800,,,,/ .82,,,['BOEING 747-400LCF Dreamlifter']
BLEN,L2P,L/G,17.1,12.1,3.9,5.9,,800,3,,,280,200,230,172,1500,"['BRISTOL 149 Blenheim', 'BRISTOL 149 Bolingbroke']"
BLKS,L1P,L/G,5.5,4.5,1.4,0.5,40,200,2,120,,150,100,117,102,1600,"['AIRCRAFT SPRUCE Baby Lakes', 'AIRCRAFT SPRUCE Buddy Baby Lakes', 'AIRCRAFT SPRUCE Super Baby Lakes', 'OLDFIELD Baby Lakes', 'OLDFIELD Buddy Baby Lakes', 'OLDFIELD Super Baby Lakes']"
BM6,L1P,L/G,,,,,,300,1,,,,,110,,,['MARANDA BM-6 Lark']
BMAN,L1P,L/G,9.8,7.5,2.6,0.9,120,800,3,150,,,,100,90,1400,['AAK Bushman']
BN2P,L2P,L/G,14.9,10.8,4.1,2.9,520,750,10,330,350,160,130,156,140,1000,"['AVIONS FAIREY BN-2A Defender', 'AVIONS FAIREY BN-2A Islander', 'AVIONS FAIREY BN-2A Maritime Defender', 'AVIONS FAIREY BN-2B Islander', 'BRITTEN-NORMAN BN-2B Defender', 'BRITTEN-NORMAN BN-2 Islander', 'BRITTEN-NORMAN BN-2A Defender', 'BRITTEN-NORMAN BN-2A Islander', 'BRITTEN-NORMAN BN-2A Maritime Defender', 'BRITTEN-NORMAN BN-2B Islander', 'BUCURESTI BN-2B Islander', 'IRMA BN-2A Islander', 'IRMA BN-2B Islander', 'PADC BN-2A Islander', 'PADC BN-2B Islander', 'PILATUS BRITTEN-NORMAN BN-2A Islander', 'PILATUS BRITTEN-NORMAN BN-2B Islander', 'ROMAERO BN-2B Islander']"
BN2T,L2T,L/G,16.2,12.2,4.4,3.2,1100,1000,10,565,590,250,220,225,176,1500,"['BRITTEN-NORMAN BN-2T Turbine Defender', 'BRITTEN-NORMAN BN-2T Defender 4000', 'BRITTEN-NORMAN BN-2T Turbine Islander', 'BUCURESTI BN-2T Turbine Islander', 'PILATUS BRITTEN-NORMAN BN-2T Defender 4000', 'PILATUS BRITTEN-NORMAN BN-2T Turbine Islander', 'ROMAERO BN-2T Defender 4000', 'ROMAERO BN-2T Turbine Islander']"
BO40,L1P,L/G,13.4,10.1,3.7,2.7,,565,1+2,,,145,,111,91,770,['BOEING 40']
BOLT,L1P,L/G,7.2,5.8,2.2,0.9,140,400,2,100,240,185,,156,139,3500,['STEEN Skybolt']
BOOM,L2P,L/G,11.2,9.3,,1.9,,2000,1+4,,,,,270,220,1900,['RUTAN 202 Boomerang']
BPAT,L1P,L/G,10,7,2,0.9,200,900,,,,,,165,140,1700,['R & B Bearhawk Patrol']
BPOD,L4E,L/G,9.7,,,,-,460,2,,,,,170,,,"['RUTAN 367 BiPod', 'SCALED 367 BiPod']"
BR14,L1P,L/G,14.3,8.9,3.3,1.7,,,2,,,190,140,95,82,910,['BREGUET 14 Replica']
BR23,L1P,L/G,9.2,6.5,2.3,0.8,120,600,2,480,390,,,156,117,700,['BRM AERO Bristell B23']
BR54,G1P,L/G,-,4.4,2.4,0.6,60,150,2,90,,,100,120,95,800,['BARNETT BRC-540']
BR60,L1P,L/G,8.4,6.2,2.1,0.6,120,,2,,,,,135,110,1000,"['BRUMBY Brumby', 'BRUMBY 600']"
BR61,L1P,L/G,8.5,6,,0.6,140,,2,,,,,,100,1000,['BRUMBY 610 Evolution']
BR8,L1P,L/G,9.1,,,0.6,150,,2,,,,,156,138,,['BRM AERO Bristell B8']
BRAV,L1P,L/G,8.3,6.6,2.4,0.6,100,,2,180,120,140,,135,116,1200,['TECNAM P-2004 Bravo']
BRB2,H1P,L/G,-,6.7,2.1,0.7,,210,2,,,110,80,87,78,1900,"['BRANTLY B-2', 'BRANTLY-HYNES B-2', 'HYNES H-2', 'QINGDAO B-2']"
BREZ,L1P,L/G,8.7,6.4,2.1,0.5,55,430,2,120,,,,130,110,1000,"['AEROSTYLE Breezer', 'BREEZER Breezer']"
BROU,L1P,L/G,13.7,8.6,3.6,2.7,,430,2+5,400,,180,150,145,124,785,['MAX HOLSTE MH-1521 Broussard']
BS60,L2T,L/G,11.5,9.1,2.7,2.5,650,1080,6,806,704,250,220,261,232,1400,['BEECH-SFERMA 60 Marquis']
BSTP,H2T,M/G,-,18.9,4.8,7.9,,550,19,,,70,60,140,,1780,['BELL 214ST SuperTransport']
BSTR,L1P,L/G,11,7,2.2,0.9,75,,2,100,,,,,,1000,['CUSTOM FLIGHT Bright Star']
BT36,L1P,L/G,11.5,8.4,2.6,1.7,400,1000,6,720,520,250,100,200,190,1050,"['BEECH A36TC Bonanza', 'BEECH B36TC Bonanza', 'RAYTHEON B36TC Bonanza']"
BT7,L1J,M/Z,10,14.1,4,5.5,,994,2,,,,,702,,33500,"['BOEING T-7 Red Hawk', 'BOEING BTX-1']"
BTUB,L1P,L/G,7.3,4.1,2,0.3,21,87,1,150,90,65,,56,48,400,['KIMBREL Dormoy Bathtub']
BU20,L3P,L/G,23.7,15.1,4.2,5.7,,590,16-23,,,,,,120,2000,['AIRCRAFT HYDRO-FORMING Bushmaster 2000']
BU31,L1P,L/G,7.4,6.6,2.2,0.7,,350,2,,,100,80,98,87,920,"['AERO (2) C-104', 'AERO (2) Z-131', 'BUCKER B�-131 Jungmann', 'BUCKER PRADO B�-131 Jungmann', 'CASA 1-131', 'DORNIER DoB�-131 Jungmann', 'DORNIER DoB�-131 Lerche', 'DORNIER DoB�APM-131 Jungmann', 'DORNIER DoB�-R170 Jungmann', 'SSH T-131 Jungmann']"
BU33,L1P,L/G,6.6,6,2.2,0.6,,270,1,,,150,100,118,106,1080,"['BITZ B�-133 Jungmeister', 'BUCKER B�-133 Jungmeister', 'BUCKER PRADO B�-133 Jungmeister', 'CASA 1-133', 'DORNIER DoB�-133 Jungmeister']"
BU81,L1P,L/G,10.6,7.8,2,0.8,120,420,,,,170,150,121,110,900,"['BUCKER B�-181 Bestmann', 'HAGGLUND B�-181 Bestmann', 'HELIOPOLIS Gomhouria', 'KADER Bestmann', 'KADER G-10 Aeropony', 'KADER Gomhouria', 'SHADIN S-10 Aeropony', 'ZLIN C-6', 'ZLIN C-106', 'ZLIN C-206', 'ZLIN Z-181', 'ZLIN Z-182', 'ZLIN Z-183']"
BUC,L2J,M/F,13.4,19.3,4.9,28,,2000,2,,,400,360,561,,,['HAWKER SIDDELEY Buccaneer']
BUCA,A1P,L/G,9.3,7,2.1,0.6,45,120,2,200,300,130,100,78,60,500,"['ADVANCED AEROMARINE Mallard', 'ADVANCED AVIATION Buccaneer', 'ARNET PEREYRA Buccaneer', 'KEUTHAN Buccaneer']"
BULT,L1P,L/G,7.4,6.2,2.7,1.5,120,750,2,780,853,240,170,237,173,1500,['BROKAW BJ-520 Bullet']
BUSH,L1P,L/G,9.6,5.7,2.3,0.6,94,,2,80,100,140,115,109,91,1200,['RAINBOW SKYREACH BushCat']
BW60,L1P,L/G,8.4,,,0.6,140,,2,300,,,,184,150,1500,['BLACKWING BW-600']
BW6T,L1P,L/G,,,,0.6,140,,2,150,300,,,200,185,1600,['BLACKWING BW-635']
BX2,L1P,L/G,7,5.2,2,0.6,72,500,,300,150,140,100,,110,800,['BRANDLI BX-2 Cherry']
C02T,L2T,L/G,13.4,11,3.5,1.7,400,800,10,500,700,260,220,227,209,1600,"['AJI Turbo Star 402', 'CESSNA 402 (turbine)', 'SCENIC Turbo Star 402']"
C04T,L2T,L/G,14.1,12.4,4,3.8,930,1400,8,,,260,200,238,163,1900,"['CESSNA 404 (turbine)', 'OMNI 404 Turbo Titan']"
C06T,L1T,L/G,11,8.6,2.9,1.6,350,540,6,480,420,270,240,174,152,1050,"['CESSNA 206 (turbine)', 'SOLOY Turbine 206']"
C07T,L1T,L/G,11,9.6,2.9,1.7,210,540,6,610,500,270,240,170,161,1000,"['CESSNA 207 (turbine)', 'SOLOY Turbine 207']"
C08T,L1T,L/G,15.9,14.8,4.9,5.6,1243,540,9,,,250,200,190,153,1500,"['SOLOY 208 Dual-Pac Caravan', 'SOLOY 208 Pathfinder 21']"
C1,L2J,M/E,30.5,29,9.9,45,15200,700,65,640,457,380,330,435,,3500,"['KAWASAKI C-1', 'KAWASAKI EC-1']"
C101,L1J,L/G,10.6,12.5,4.2,5.6,1820,520,2,850,900,450,410,,354,3780,"['CASA C-101 Mirlo', 'CASA A-36 Halcon', 'CASA C-101 Aviojet', 'CASA T-36 Aviojet', 'ENAER A-36 Halcon', 'ENAER C-101 Aviojet', 'ENAER T-36 Aviojet', 'INDAER CHILE A-36 Halcon', 'INDAER CHILE C-101 Aviojet', 'INDAER CHILE T-36 Aviojet']"
C10T,L1T,L/G,11.1,8.5,2.9,1.7,330,650,6,570,450,280,230,204,197,1000,"['ADVANCED AIRCRAFT Spirit 750', 'ADVANCED AIRCRAFT Turbine P210', 'CESSNA P210 (turbine)']"
C119,L2P,M/D,33.3,26.3,8,33.7,11000,1540,5+67,700,580,240,200,244,170,1000,"['FAIRCHILD (1) C-119 Flying Boxcar', 'FAIRCHILD (1) F-78 Flying Boxcar', 'FAIRCHILD (1) R4Q Flying Boxcar']"
C120,L1P,L/G,10,6.5,1.9,0.6,100,380,2,550,450,155,,123,106,650,['CESSNA 120']
C123,L2P,M/D,33.5,23.9,10.4,27.2,7200,1270,64,1800,,280,240,,173,890,['FAIRCHILD (1) C-123 Provider']
C125,L3P,M/F,26.3,20.4,7,19,,1610,36,,,120,100,160,149,1800,['NORTHROP C-125 Raider']
C130,L4T,M/D,40.4,32.3,11.7,70.3,36600,3890,92-135,1905,1478,330,280,325,300,1500,"['LOCKHEED AC-130 Spectre', 'LOCKHEED C-130 Karnaf', 'LOCKHEED C-130A Hercules', 'LOCKHEED C-130B Hercules', 'LOCKHEED C-130E Hercules', 'LOCKHEED C-130F Hercules', 'LOCKHEED C-130H Hercules', 'LOCKHEED C-130K Hercules', 'LOCKHEED CC-130 Hercules', 'LOCKHEED DC-130 Hercules', 'LOCKHEED EC-130 Aya', 'LOCKHEED EC-130 Sapeer', 'LOCKHEED EC-130E Hercules', 'LOCKHEED EC-130G Hercules', 'LOCKHEED EC-130H Hercules', 'LOCKHEED EC-130Q Hercules', 'LOCKHEED HC-130 Hercules', 'LOCKHEED JC-130 Hercules', 'LOCKHEED KC-130 Karnaf', 'LOCKHEED KC-130B Hercules', 'LOCKHEED KC-130F Hercules', 'LOCKHEED KC-130H Hercules', 'LOCKHEED KC-130R Hercules', 'LOCKHEED KC-130T Hercules', 'LOCKHEED L-100 Hercules', 'LOCKHEED LC-130 Hercules', 'LOCKHEED MC-130 Hercules', 'LOCKHEED NC-130 Hercules', 'LOCKHEED RC-130 Hercules', 'LOCKHEED TC-130 Hercules', 'LOCKHEED Tp84 Hercules', 'LOCKHEED VC-130 Hercules', 'LOCKHEED WC-130E Hercules', 'LOCKHEED WC-130H Hercules', 'LOCKHEED 182 Hercules', 'LOCKHEED 282 Hercules', 'LOCKHEED 382 Hercules', 'LOCKHEED MARTIN C-130H Hercules', 'LOCKHEED MARTIN LC-130 Hercules', 'LOCKHEED MARTIN 382C Hercules', 'ROCKWELL AC-130 Spectre']"
C135,L4J,H/C,39.9,41.5,12.9,144,71200,72300,4,3290,1890,490,330,526,445 / .81,1500,"['BOEING NC-135', 'BOEING OC-135', 'BOEING WC-135']"
C140,L1P,L/G,10,6.5,1.9,0.6,80,270,2,550,450,155,100,103,90,640,['CESSNA 140']
C14T,L2T,L/G,13.4,11,3.5,3,,1300,2+8,,,310,270,235,183,1520,"['AJI Turbo Star 414', 'CESSNA 414 (turbine)', 'SCENIC Turbo Star 414']"
C15,L4J,M/D,40.4,37.9,13.2,99.4,,2600,3+150,,,300,250,434,356,,['MCDONNELL DOUGLAS YC-15']
C150,L1P,L/G,10.1,6.5,2.1,0.7,100,270,2,410,360,155,120,108,,670,"['AVIONES COLOMBIA 150', 'CESSNA 150', 'CESSNA 150 Commuter', 'CESSNA A150 Aerobat', 'CESSNA T-51', 'FMA A-150', 'FMA A-A150 Aerobat', 'REIMS F150', 'REIMS F150 Commuter', 'REIMS FA150 Aerobat', 'REIMS FRA150 Aerobat']"
C152,L1P,L/G,10.1,7.2,2.5,0.7,100,270,2,308,365,150,120,110,105,750,"['AVIONES COLOMBIA 152', 'CESSNA 152', 'CESSNA A152 Aerobat', 'REIMS F152', 'REIMS FA152 Aerobat']"
C160,L2T,M/D,40,32.4,11.7,51,19000,,100,950,550,290,270,280,170,1360,['TRANSALL C-160']
C162,L1P,L/G,9.1,6.9,2.5,0.6,90,470,2,380,320,155,120,118,112,890,"['CESSNA 162 Skycatcher', 'SHENYANG 162 Skycatcher']"
C17,L4J,H/C,52.2,53,16.8,259.4,102600,4700,100,2286,915,450,390,,490 / .72,1800,"['BOEING C-17 Globemaster 3', 'BOEING CC-177 Globemaster 3', 'MCDONNELL DOUGLAS C-17 Globemaster 3']"
C170,L1P,L/G,11,7.6,2,0.9,150,370,4,550,350,155,110,122,104,690,['CESSNA 170']
C172,L1P,L/G,10.9,8.3,2.6,1.1,200,580,4,514,395,150,110,122,114,700,"['AVIONES COLOMBIA 172', 'CESSNA 172', 'CESSNA 172 Cutlass', 'CESSNA 172 Skyhawk', 'CESSNA P172 Skyhawk Powermatic', 'CESSNA R172', 'CESSNA R172 Hawk XP', 'CESSNA T-41 Mescalero', 'FMA P-172', 'REIMS F172', 'REIMS F172 Skyhawk', 'REIMS FP172', 'REIMS FR172 Hawk XP', 'REIMS FR172 Reims Rocket']"
C175,L1P,L/G,11,7.6,2.7,1,200,510,4,450,350,160,120,123,118,850,"['CESSNA 175', 'CESSNA 175 Skylark']"
C177,L1P,L/G,10.8,8.2,2.7,1.1,160,600,4,500,400,145,120,140,130,850,"['CESSNA 177', 'CESSNA 177 Cardinal']"
C180,L1P,L/G,10.8,7.9,2.2,1.2,300,890,5,370,420,200,150,148,141,1100,"['CESSNA 180', 'CESSNA 180 Skywagon 180', 'CESSNA U-17C']"
C182,L1P,L/G,11,8.8,2.8,1.4,200,810,4,462,412,,150,,145,920,"['AVIONES COLOMBIA 182', 'CESSNA 182', 'CESSNA 182 Skylane', 'DINFIA A-182', 'FMA A-182', 'PETERSON 460', 'PETERSON 230', 'PETERSON 260', 'PETERSON Katmai', 'REIMS F182 Skylane', 'WREN 460']"
C185,L1P,L/G,11,7.8,2.1,1.5,250,700,5,435,410,180,140,153,145,1000,"['AVIATECH Super Cyclone', 'AVIONES COLOMBIA 185', 'CESSNA 185 Skywagon', 'CESSNA A185 AgCarryall', 'CESSNA A185 Skywagon 185', 'CESSNA U-17A', 'CESSNA U-17B', 'ST. JUST Super Cyclone']"
C188,L1P,L/G,12.7,7.9,2.5,1.9,200,500,1,650,400,170,130,113,106,1000,"['AVIONES COLOMBIA 188', 'AVIONES COLOMBIA AC-05 AgWagon', 'AVIONES COLOMBIA AgTrainer', 'AVIONES COLOMBIA Pijao', 'CESSNA 188 AgPickup', 'CESSNA 188 AgWagon', 'CESSNA A188 AgTruck', 'CESSNA A188 AgWagon', 'CESSNA T188 AgHusky', 'FMA A-A188 AgTruck']"
C190,L1P,L/G,11,8.3,2.8,1.5,296,590,5,480,440,160,120,153,139,1090,['CESSNA 190']
C195,L1P,L/G,11,8.3,2.8,1.5,296,590,5,510,455,185,140,157,148,1200,"['CESSNA 195', 'CESSNA LC-126']"
C2,L2T,M/F,24.5,17.3,4.8,26,12400,1040,30,796,450,300,280,309,257,1000,['GRUMMAN C-2 Greyhound']
C205,L1P,L/G,11,8.6,2.9,1.5,300,880,6,400,350,160,120,170,,960,['CESSNA 205']
C206,L1P,L/G,11,8.6,2.9,1.6,330,600,6,542,425,160,120,155,143,980,"['AVIONES COLOMBIA 206', 'CESSNA 206 Stationair', 'CESSNA 206 Super Skywagon', 'CESSNA P206 Super Skylane', 'CESSNA U206 Skywagon 206', 'CESSNA U206 Stationair', 'CESSNA U206 Stationair 6', 'CESSNA U206 Super Skywagon']"
C207,L1P,L/G,11,9.6,2.9,1.6,220,690,8,460,570,260,240,170,161,800,"['CESSNA 207 Skywagon 207', 'CESSNA 207 Stationair 7', 'CESSNA 207 Stationair 8', 'CESSNA T207 Turbo Skywagon 207', 'CESSNA T207 Turbo Stationair 7', 'CESSNA T207 Turbo Stationair 8', 'REIMS F207']"
C208,L1T,L/G,15.8,11.4,4.5,3.9,1200,940,14,740,550,270,240,190,184,1210,"['CESSNA 208 Caravan 1', 'CESSNA 208 Cargomaster', 'CESSNA 208 Grand Caravan', 'CESSNA 208 Super Cargomaster', 'CESSNA C-98', 'CESSNA U-27', 'CESSNA 208 Caravan 675', 'CESSNA AC-208 Combat Caravan']"
C210,L1P,L/G,11.2,8.6,2.9,1.7,340,1240,6,619,457,270,250,196,178,1500,"['AVIONES COLOMBIA 210', 'CESSNA 210', 'CESSNA 210 Centurion']"
C212,L2T,M/G,20.3,16.2,6.6,8.1,2040,800,18-26,590,530,260,240,195,163,1500,"['AIRBUS C-212', 'CASA C-41 Aviocar', 'CASA C-212 Aviocar', 'CASA Tp89 Aviocar', 'DIRGANTARA NC-212 Aviocar', 'NURTANIO NC-212 Aviocar', 'NUSANTARA NC-212 Aviocar']"
C21T,L2T,L/G,12.1,10.2,3.5,,700,1000,2+6,770,650,270,240,,265,2500,"['ADVANCED AIRCRAFT Regent 1500', 'CESSNA 421 (turbine)', 'RILEY Turbine Eagle 421', 'RILEY Turbine Rocket 421']"
C22J,L2J,L/G,9.2,6.2,1.8,1.3,430,650,2,550,,250,100,,175,1500,['CAPRONI VIZZOLA C-22J Ventura']
C240,L1P,L/G,11,7.7,2.7,1.6,380,1250,4,580,800,250,,235,,1400,"['CESSNA T240 Corvalis TTx', 'CESSNA T240 TTx']"
C25A,L2J,L/G,15.1,14.5,4.2,5.6,2221,1781,2+9,1024,908,450,350,418,,4120,['CESSNA 525A Citation CJ2']
C25B,L2J,L/G,16.2,15.5,4.6,6.2,2661,2040,2+9,970,844,450,350,416,,4478,['CESSNA 525B Citation CJ3']
C25C,L2J,M/G,15.4,16.2,4.7,7.7,3293,2165,2+10,1039,896,450,350,451,,3854,['CESSNA 525C Citation CJ4']
C25M,L2J,L/G,14.4,12.9,4.2,4.8,1862,1550,2+7,978,789,410,330,404,,3698,['CESSNA 525 Citation M2']
C270,L1P,L/G,9.9,7.6,2.7,0.8,110,300,2,,,,,140,90,800,"['CAUDRON C-270 Luciole', 'CAUDRON C-272 Luciole', 'CAUDRON C-275 Luciole']"
C27J,L2T,M/E,28.7,22.7,10.5,31.8,6800,1200,64,640,690,300,270,325,,1960,"['ALENIA C-27J Spartan', 'ALENIA HC-27J Spartan', 'ALENIA AERMACCHI C-27J Spartan', 'ALENIA AERMACCHI HC-27J Spartan', 'ALENIA AERMACCHI MC-27J Praetorian']"
C295,L2T,M/F,25.8,24.4,8.8,23.2,7650,730,73,1100,790,300,250,,260,,"['AIRBUS C-295', 'AIRBUS C-295 Persuader', 'AIRBUS SC-105 Amazonas', 'CASA SC-105 Amazonas', 'CASA C-105 Amazonas', 'CASA C-295', 'CASA C-295 Persuader']"
C303,L2P,L/G,11.9,9.2,4,2.3,410,810,6,533,442,250,230,216,196,1480,"['AVIONES COLOMBIA T303', 'CESSNA T303 Crusader']"
C306,L1P,L/G,7.5,6.2,,0.6,,,2,200,155,,,,156,1770,"['CEA-UFMG CEA-306 CB-10 Triathlon', 'CEA-UFMG CB-10 Triathlon']"
C309,L1P,L/G,6.1,5.8,,0.5,,,1,400,500,,,215,200,2700,['CEA-UFMG CEA-309 Mehari']
C30J,L4T,M/D,40.4,28.8,11.7,79.3,20520,2910,131,,,310,270,348,300,2100,"['LOCKHEED MARTIN 382J Super Hercules', 'LOCKHEED MARTIN 382U Super Hercules', 'LOCKHEED MARTIN 382V Super Hercules', 'LOCKHEED MARTIN C-130J Super Hercules', 'LOCKHEED MARTIN CC-130J Super Hercules', 'LOCKHEED MARTIN EC-130J Super Hercules', 'LOCKHEED MARTIN HC-130J Super Hercules', 'LOCKHEED MARTIN KC-130J Super Hercules', 'LOCKHEED MARTIN MC-130J Super Hercules', 'LOCKHEED MARTIN WC-130J Super Hercules', 'LOCKHEED MARTIN LM-100J Super Hercules']"
C310,L2P,L/G,11.3,9.7,3.2,2.4,780,640,5,507,546,250,210,206,193,1500,"['AVIONES COLOMBIA 310', 'CESSNA 310', 'CESSNA L-27', 'CESSNA T310', 'CESSNA U-3', 'COLEMILL Bearcat', 'COLEMILL Executive 600', 'RILEY 65', 'RILEY Rocket', 'RILEY Super 310', 'RILEY Turbo-Rocket', 'RILEY Turbostream']"
C311,L1P,L/G,6,5.2,1.1,0.5,100,,1,800,900,,,281,,4200,['CEA-UFMG CEA-311 Anequim']
C320,L2P,L/G,11.2,9,3,2.3,400,1000,5,450,470,290,240,239,226,1820,"['CESSNA 320 Executive Skyknight', 'CESSNA 320 Skyknight', 'COLEMILL Century 600']"
C335,L2P,L/G,11.6,10.5,3.8,2.7,,1000,6,,,270,240,230,169,1400,['CESSNA 335']
C336,L2P,L/G,11.6,9,2.8,2,350,,4,,400,190,170,159,150,1340,['CESSNA 336 Skymaster']
C337,L2P,L/G,11.6,9,2.8,2.2,350,1350,6,400,450,195,160,173,125,1200,"['AVIONES COLOMBIA 337', 'CESSNA 337 Super Skymaster', 'CESSNA M337 Super Skymaster', 'CESSNA MC337 Super Skymaster', 'CESSNA O-2 Super Skymaster', 'CESSNA T337B Turbo Super Skymaster', 'CESSNA T337C Turbo Super Skymaster', 'CESSNA T337D Turbo Super Skymaster', 'CESSNA T337E Turbo Super Skymaster', 'CESSNA T337F Turbo Super Skymaster', 'CESSNA T337H Turbo Super Skymaster', 'REIMS F337 Super Skymaster', 'REIMS FT337E Turbo Super Skymaster', 'REIMS FT337F Turbo Super Skymaster', 'RIMS FTB337 Milirole', 'SUMMIT O2-337 Sentry']"
C340,L2P,L/G,11.6,10.5,3.8,2.7,400,1170,6,535,688,300,250,244,170,1600,"['AVIONES COLOMBIA 340', 'CESSNA 340', 'RILEY Rocket 340', 'RILEY Super 340']"
C365,L1T,L/G,13.7,12,4,3.7,,530,2,,,310,250,233,189,,['EKW C-3605']
C402,L2P,L/G,13.5,11.1,3.5,2.8,630,1260,8,677,538,270,250,230,213,1600,"['AVIONES COLOMBIA 402', 'CESSNA 401', 'CESSNA 402', 'CESSNA 402 Businessliner', 'CESSNA 402 Utililiner']"
C404,L2P,L/G,14.2,12.4,4,3.8,1300,1520,12,770,690,260,210,238,217,1900,['CESSNA 404 Titan']
C408,L2T,M/G,22,16.7,6.4,8.6,2725,386,2+19,1100,783,250,,210,,,['CESSNA 408 SkyCourier']
C411,L2P,L/G,12.1,10.2,3.5,2.9,600,1080,6,,540,260,220,231,214,1900,['CESSNA 411']
C414,L2P,L/G,14.4,11,3.6,3,760,1310,7,790,718,300,280,240,225,1580,"['AVIONES COLOMBIA 414', 'CESSNA 414', 'CESSNA 414 Chancellor', 'RILEY Rocket Power 414']"
C42,L1P,L/G,9.5,6.2,2.2,0.5,50,400,2,100,,120,,116,105,980,"['IKARUS C-42', 'IKARUS C-42 Bison']"
C421,L2P,L/G,12.8,11.1,3.5,3.3,900,840,10,699,728,310,280,257,240,1850,"['CESSNA 421', 'CESSNA 421 Executive Commuter', 'CESSNA 421 Golden Eagle']"
