ICAO Code,Classification,Category,Wing Span(m),Length(m),Height(m),MTOW(t),Fuel Capacity(ltr),Maximum Range(Nm),Persons On Board,Take Off Distance(m),Landing Distance(m),Absolute Ceiling(x100ft),Optimum Ceiling(x100ft),Maximum Speed(kts / M),Optimum Speed(kts / M),Maximum Climb Rate(ft / min),List of Manufacturers
H40,L1P,L/G,10.8,7,2.4,0.8,,700,2,,,180,150,,120,780,['HOFFMANN H-40']
H43A,H1P,L/G,-,7.6,3.8,,,300,10,,,250,80,107,,,"['KAMAN H-43A', 'KAMAN HH-43A', 'KAMAN HOK', 'KAMAN HUK', 'KAMAN K-600', 'KAMAN OH-43', 'KAMAN UH-43']"
H43B,H1T,L/G,-,7.6,3.8,,,500,10,,,250,80,104,,,"['KAMAN HH-43B Huskie', 'KAMAN HH-43F Huskie', 'KAMAN K-600-3 Huskie', 'KAMAN K-600-5 Huskie']"
H46,H2T,M/G,-,13.5,5,11,1325,160,28,,,170,90,146,125,1440,"['BOEING VERTOL 107', 'BOEING VERTOL CH-46 Sea Knight', 'BOEING VERTOL CH-113 Labrador', 'BOEING VERTOL HH-46 Sea Knight', 'BOEING VERTOL Hkp4', 'BOEING VERTOL UH-46 Sea Knight', 'KAWASAKI Hkp4', 'KAWASAKI KV-107', 'VERTOL 107']"
H47,H2T,M/F,-,15.5,5.6,24.4,3900,1130,35-61,,,220,110,162,145,1180,"['AGUSTAWESTLAND ICH-47 Chinook', 'BOEING CH-47 Chinook', 'BOEING HH-47', 'BOEING MH-47 Chinook', 'BOEING JCH-47 Chinook', 'BOEING VERTOL 114', 'BOEING VERTOL 234', 'BOEING VERTOL 414', 'BOEING VERTOL CH-47 Chinook', 'BOEING VERTOL JCH-47 Chinook', 'BOEING VERTOL MH-47 Chinook', 'FINMECCANICA ICH-47 Chinook', 'KAWASAKI CH-47 Chinook', 'LEONARDO ICH-47 Chinook', 'MERIDIONALI CH-47 Chinook']"
H500,H1T,L/G,-,7,2.4,1.7,240,320,5,,,160,80,147,117,1700,"['AGUSTA NH-500', 'BOEING MD-500', 'BOEING MD-500 Defender', 'BOEING MD-500 Nightfox', 'BOEING MD-530F Lifter', 'BOEING MD-530MG Defender', 'BOEING MD-530MG Nightfox', 'BREDANARDI NH-500', 'HUGHES 369', 'HUGHES 500', 'HUGHES 500 Defender', 'HUGHES 530F', 'HUGHES AH-6C', 'HUGHES AH-6G', 'HUGHES MH-6B', 'HUGHES MH-6C', 'HUGHES MH-6E', 'HUGHES MH-6H', 'HUGHES OH-6 Cayuse', 'KAWASAKI 369', 'KAWASAKI 500', 'KAWASAKI OH-6', 'KOREAN AIR 369', 'KOREAN AIR 500', 'KOREAN AIR 500 Defender', 'KOREAN AIR 520MK Black Tiger', 'MCDONNELL DOUGLAS AH-6G', 'MCDONNELL DOUGLAS MD-500', 'MCDONNELL DOUGLAS MD-500 Defender', 'MCDONNELL DOUGLAS MD-500 Nightfox', 'MCDONNELL DOUGLAS MD-530F Lifter', 'MCDONNELL DOUGLAS MD-530MG Defender', 'MCDONNELL DOUGLAS MD-530MG Nightfox', 'MCDONNELL DOUGLAS MH-6H', 'MD HELICOPTERS MD-500', 'MD HELICOPTERS MD-500 Defender', 'MD HELICOPTERS MD-500 Nightfox', 'MD HELICOPTERS MD-530F Lifter', 'MD HELICOPTERS MD-530MG Defender', 'MD HELICOPTERS MD-530MG Nightfox', 'MD HELICOPTERS AH-6I', 'RACA 500']"
H53,H2T,M/F,-,20.4,7.5,19,2380,475,38,,,210,80,170,150,2180,"['SIKORSKY CH-53A Sea Stallion', 'SIKORSKY CH-53A Yasur', 'SIKORSKY CH-53C', 'SIKORSKY CH-53D Sea Stallion', 'SIKORSKY CH-53G', 'SIKORSKY HH-53', 'SIKORSKY MH-53H', 'SIKORSKY MH-53J', 'SIKORSKY RH-53 Sea Stallion', 'SIKORSKY S-65', 'SIKORSKY S-65 Yasur', 'SIKORSKY TH-53', 'SIKORSKY VH-53 Sea Stallion', 'VFW CH-53G']"
H53S,H3T,M/F,-,22.3,6.6,33.3,2380,475,66,,,210,80,170,150,,"['SIKORSKY CH-53E Super Stallion', 'SIKORSKY MH-53E Sea Dragon', 'SIKORSKY S-80', 'SIKORSKY CH-53K King Stallion']"
H60,H2T,M/G,-,15.2,5.1,9.1,2230,320,14,,,190,80,160,145,2000,"['ASTA S-70 Seahawk', 'HAWKER DE HAVILLAND S-70 Black Hawk', 'KOREAN AIR UH-60 Black Hawk', 'MITSUBISHI S-70 Seahawk', 'MITSUBISHI SH-60 Seahawk', 'MITSUBISHI UH-60', 'MITSUBISHI USH-60 Seahawk', 'SIKORSKY AH-60 Black Hawk', 'SIKORSKY EH-60 Black Hawk', 'SIKORSKY HH-60 Black Hawk', 'SIKORSKY HH-60 Jayhawk', 'SIKORSKY HH-60 Pave Hawk', 'SIKORSKY HH-60 Rescue Hawk', 'SIKORSKY JUH-60 Black Hawk', 'SIKORSKY MH-60 Black Hawk', 'SIKORSKY MH-60 Knighthawk', 'SIKORSKY MH-60 Strikehawk', 'SIKORSKY NSH-60 Seahawk', 'SIKORSKY S-70', 'SIKORSKY S-70 Black Hawk', 'SIKORSKY S-70 Desert Hawk', 'SIKORSKY S-70 Firehawk', 'SIKORSKY S-70 Super Blue Hawk', 'SIKORSKY S-70 Thunderhawk', 'SIKORSKY SH-60 Ocean Hawk', 'SIKORSKY SH-60 Seahawk', 'SIKORSKY UH-60 Black Hawk', 'SIKORSKY UH-60 Firehawk', 'SIKORSKY UH-60 Yanshuf', 'SIKORSKY VH-60 White Hawk', 'SIKORSKY HM-2 Blackhawk', 'WESTLAND WS-70']"
H64,H2T,M/G,-,14.6,4.9,10.1,1100,260,2,,,220,80,158,143,2500,"['BOEING AH-64 Longbow Apache', 'BOEING AH-64 Saraf', 'FUJI AH-64 Longbow Apache', 'HUGHES 77 Apache', 'HUGHES AH-64 Apache', 'HUGHES JAH-64 Apache', 'MCDONNELL DOUGLAS AH-64 Apache', 'MCDONNELL DOUGLAS AH-64 Longbow Apache', 'MCDONNELL DOUGLAS AH-64 Pethen', 'MCDONNELL DOUGLAS JAH-64 Apache', 'WESTLAND WAH-64 Apache']"
